intersection_id,hist_crashes,future_crashes,predicted_probability,community_name,x,y
26098097.0,33,20.0,0.9892153482999515,NEAR SOUTH SIDE,359425.63564344996,576837.8686936795
26098113.0,27,20.0,0.9946991890192796,LOOP,359437.7283950128,579124.8829631857
26099529.0,17,8.0,0.9734023923927992,LINCOLN PARK,358037.18914801907,584092.091112177
26099544.0,13,7.0,0.8634722062233238,LINCOLN PARK,358281.47937548684,584146.8727579907
26220951.0,46,20.0,0.9920038450105767,GARFIELD RIDGE,349033.48648953094,570904.1556366306
26220970.0,15,10.0,0.9806702952875457,GARFIELD RIDGE,349161.6257289541,569290.0970041208
26794540.0,22,9.0,0.9376903272366193,UPTOWN,357137.5654054252,587297.2540257566
26794541.0,12,7.0,0.5432396712116153,LAKE VIEW,357046.0815707678,587292.7644935746
26794543.0,34,10.0,0.9610019521974718,UPTOWN,356610.0227654717,587280.3350475803
26794544.0,24,6.0,0.9698250516752771,UPTOWN,356276.56133257586,587270.9213927679
26794545.0,18,13.0,0.9893241878223428,UPTOWN,355640.29605592566,587253.458534348
26794546.0,25,9.0,0.9844938484701333,LAKE VIEW,355475.12082331453,587249.6233007603
26794549.0,36,16.0,0.9913182609715676,LAKE VIEW,355069.5383663236,587240.3700648634
26794602.0,13,7.0,0.8370389043290767,UPTOWN,355048.0510827208,588049.8450106767
26794605.0,20,10.0,0.9244256136614628,UPTOWN,355325.22483032,588057.2412499227
26808050.0,16,10.0,0.8400835734158575,LINCOLN PARK,357179.64890631405,584637.9651073851
26808056.0,17,11.0,0.9489315259339324,LAKE VIEW,356610.2508554887,585659.9732983559
26817972.0,8,8.0,0.5940622119764253,LINCOLN PARK,355977.517511637,584024.9866226116
26817974.0,31,13.0,0.9932997081096587,LINCOLN PARK,356781.7612357485,584049.3118822519
26817975.0,9,6.0,0.3945634866189712,LINCOLN PARK,356983.2939687626,584055.2001530612
27440209.0,23,16.0,0.9838603239247454,NEAR WEST SIDE,357585.2885184898,578790.9891264482
27440211.0,19,8.0,0.8606571275046042,LOOP,357825.9532214281,578796.8483977932
27440217.0,9,7.0,0.9145651764093832,LOOP,358316.67082054866,578808.5682223246
27440223.0,13,7.0,0.7391391384295488,LOOP,358440.2921535924,578811.7694431959
27440224.0,21,7.0,0.7962445030408335,LOOP,357950.7055260636,578657.9724856906
27440225.0,19,7.0,0.8414629251711297,LOOP,358074.8833270833,578661.4606407628
27440237.0,15,7.0,0.5315179338137851,LOOP,358444.2187386394,578670.0902132377
27440240.0,15,13.0,0.6734835325312208,LOOP,358701.44315241696,578963.7810890944
27440247.0,28,8.0,0.9893452066630443,LOOP,358864.755849952,578547.2472019666
27440248.0,15,9.0,0.973237942930407,LOOP,358852.650795519,578542.3820128079
27440479.0,17,9.0,0.7945998190936642,NEAR NORTH SIDE,358855.18738580344,581152.1423907012
27440481.0,11,7.0,0.6840615369379333,NEAR NORTH SIDE,358856.12206350855,580970.8279208201
27440482.0,15,7.0,0.8183686789503836,NEAR NORTH SIDE,358847.82762208837,580876.9325817764
27440483.0,5,7.0,0.5168132705292624,NEAR NORTH SIDE,358847.0132739092,580766.6152642845
27440566.0,22,15.0,0.9890728493594788,NEAR NORTH SIDE,359042.1353851929,580881.229399156
27440570.0,45,14.0,0.9948957495943104,NEAR NORTH SIDE,359297.0687074602,581164.2290148617
27440571.0,37,21.0,0.9959477716411914,NEAR NORTH SIDE,359342.8325426152,581072.971655182
27440577.0,80,41.0,0.9952864456131583,NEAR NORTH SIDE,359437.7803302173,580892.7412121587
27440580.0,22,14.0,0.9769400042591619,NEAR NORTH SIDE,359536.1341108535,580698.7780125869
27440581.0,15,9.0,0.9326687505838114,NEAR NORTH SIDE,359580.1600251172,580610.617762445
27440582.0,4,7.0,0.4974334061357849,NEAR NORTH SIDE,359622.63104776014,580522.9334958367
27440585.0,14,7.0,0.6923459566312498,NEAR NORTH SIDE,358626.08295809594,580870.7045008418
27440586.0,32,17.0,0.9946578129635965,NEAR NORTH SIDE,358513.0895345396,580867.16463487
27446490.0,22,8.0,0.9669748364194889,LOOP,358856.73212707974,579110.4618028573
27446491.0,36,14.0,0.9803962008852071,LOOP,358837.8925616421,579110.0284760317
27446494.0,37,31.0,0.9936107887596667,LOOP,358833.71386866306,579252.1388451112
27446495.0,17,15.0,0.6602895605490392,LOOP,358855.48327236914,579379.1461205954
27446496.0,23,11.0,0.9785095654954556,LOOP,358830.62521902623,579378.863010091
27446502.0,15,7.0,0.949909539090656,LOOP,358833.2721893428,579940.6669370492
27446708.0,17,6.0,0.6458121864971683,LOOP,358569.2097366307,578957.327684327
27446709.0,19,11.0,0.4227486965572918,LOOP,358565.03266326746,579098.8827093849
27446710.0,21,12.0,0.46373850941540334,LOOP,358697.64682431583,579105.150393407
27446720.0,14,10.0,0.9716171731409674,LOOP,358559.7622244489,579242.1837882455
27446756.0,24,12.0,0.9682802735376227,LOOP,358689.8750933525,579377.4130853761
27477592.0,12,9.0,0.6210364097831631,LOOP,358050.63334278215,579507.0993116881
27477597.0,23,13.0,0.7306744617874968,LOOP,358415.69742422603,579652.6620550089
27721250.0,13,6.0,0.85670767870931,NEAR NORTH SIDE,358856.23187978985,580410.3898394026
27729690.0,24,11.0,0.913892153328743,OAKLAND,360880.91583563294,573006.421936514
28289299.0,14,12.0,0.9632959244474725,LOOP,358427.70117294946,579234.5680267619
28289874.0,15,13.0,0.9679700057930755,LOOP,358309.56242870726,579090.811044018
28289974.0,20,11.0,0.9463344689540354,LOOP,358189.9003728774,578945.9662552319
28289985.0,11,9.0,0.7992453491131855,LOOP,358313.4333310725,578949.5311491889
28290013.0,25,12.0,0.7580685439279599,LOOP,358436.1265636265,578952.2360093077
28290256.0,16,7.0,0.9887736693663283,LOOP,358553.91647358995,579375.7165303966
28290265.0,23,10.0,0.9520791153754573,LOOP,358549.770587123,579513.5175126244
28290271.0,29,19.0,0.9767557592583671,LOOP,358419.8243510016,579511.7951418945
28290277.0,26,20.0,0.9769629919906172,LOOP,358424.0158734275,579373.1836454292
28290286.0,18,16.0,0.9914188403055839,LOOP,358296.60083781014,579510.1523789245
28290296.0,18,9.0,0.7362255448118075,LOOP,358176.2183313563,579372.0551579882
28292362.0,11,7.0,0.6137239652929235,LOOP,358412.7062749416,579785.6074374173
28292368.0,7,8.0,0.5567569299297879,LOOP,358289.1833518881,579784.6176119366
28358895.0,13,6.0,0.8507713223802628,LOOP,357791.35710443347,579366.3229959697
28358938.0,21,8.0,0.8492205833231651,LOOP,358289.80671220314,579770.3160383616
28358944.0,16,12.0,0.9306746041087494,LOOP,357813.4853770525,579645.6377861442
28358950.0,14,6.0,0.8409106441651885,LOOP,357814.82753798,579221.5586917646
29411948.0,32,16.0,0.9741269296403231,NEAR NORTH SIDE,358382.8265699962,580863.5626795146
29411952.0,27,17.0,0.9878075275761483,NEAR NORTH SIDE,358394.15579839936,580485.9720477553
29411954.0,31,12.0,0.9949267687469244,NEAR NORTH SIDE,358399.224963252,580307.0688747903
29411955.0,16,10.0,0.9832168824419187,NEAR NORTH SIDE,358401.75467717904,580218.2170817433
29412098.0,21,10.0,0.9032142672878155,NEAR NORTH SIDE,358261.4917959684,580860.1250279462
29412101.0,15,13.0,0.8793612207438838,NEAR NORTH SIDE,358268.88967676833,580571.6968202012
29412102.0,31,16.0,0.9824268005120472,NEAR NORTH SIDE,358271.18027494685,580482.4542492479
29412104.0,20,9.0,0.9590705167886795,NEAR NORTH SIDE,358275.64936788596,580303.479489293
29412106.0,24,16.0,0.9850276590591109,NEAR NORTH SIDE,358280.08239638305,580125.8818354178
29412107.0,19,14.0,0.9559974061643449,NEAR NORTH SIDE,358283.1533536498,580036.6346052609
29412128.0,8,7.0,0.7428723105395753,NEAR NORTH SIDE,358021.2621280626,580653.6264321296
29412130.0,34,18.0,0.9952903839981992,NEAR NORTH SIDE,358026.6062157625,580475.4806815204
29412131.0,25,12.0,0.9781551406328727,NEAR NORTH SIDE,358030.079371687,580388.4248419856
29412132.0,16,10.0,0.7378115496881704,NEAR NORTH SIDE,358032.7378892285,580296.4416780423
32873350.0,22,26.0,0.9921519450538566,LAKE VIEW,357095.4156790075,584868.7065597267
33392324.0,17,11.0,0.7484891838949668,NEAR SOUTH SIDE,358885.5524775158,577253.0222527588
33404757.0,15,9.0,0.7164854280855664,NEAR SOUTH SIDE,358918.281879982,576011.3264414183
33404764.0,36,18.0,0.9814327564959724,ARMOUR SQUARE,358003.5987952822,575996.5294460228
33718410.0,50,18.0,0.9939482353488535,NEAR SOUTH SIDE,359189.8204680114,577625.8938133856
33718415.0,25,7.0,0.9650688332487299,LOOP,359166.56673767586,578266.6016014795
33718417.0,38,18.0,0.9945110021497973,LOOP,359152.37036798586,578835.5519021952
33718418.0,21,7.0,0.9314806882375166,LOOP,359143.09160132974,579117.2655390836
33718424.0,22,18.0,0.9810608510247588,NEAR NORTH SIDE,359182.2242443145,580243.766042668
33718681.0,36,15.0,0.9928534926836072,LOOP,358336.18710218364,578152.5660538065
33754408.0,30,29.0,0.9952742853412136,LOOP,358876.1880953717,577629.7494588525
33754414.0,9,9.0,0.7408863032800777,NEAR SOUTH SIDE,358999.2917936279,577620.726199334
33781534.0,21,12.0,0.9157578111719651,NEAR SOUTH SIDE,358737.4342753117,577616.6082742098
35034227.0,26,10.0,0.9788399031832444,PORTAGE PARK,346201.3948965753,585416.6143655174
35034247.0,8,6.0,0.8668181056341819,LOGAN SQUARE,353885.7685703988,583972.2761026114
35034250.0,57,22.0,0.9936129960635922,LOGAN SQUARE,354366.20695730066,583983.0411205483
35313343.0,35,29.0,0.9935756845708572,NEAR WEST SIDE,356937.17036388186,579199.771731475
35313346.0,49,29.0,0.9907656850651139,WEST TOWN,356906.72174034023,580244.9671896184
35313351.0,34,11.0,0.9942360009480602,LINCOLN PARK,356834.49645792594,582436.2192840573
35313383.0,32,15.0,0.9941150148275965,NEAR WEST SIDE,357658.2818217459,576527.126219592
48989844.0,16,8.0,0.8465162595682804,WEST TOWN,354448.55965615646,581153.2741834453
48990563.0,29,15.0,0.9928656884973485,WEST TOWN,355219.0686631129,582390.910611076
48991444.0,28,8.0,0.9743196770123669,LOGAN SQUARE,352340.80787476135,583940.2899026565
48991450.0,51,35.0,0.9939429606151153,LOGAN SQUARE,353557.4334309278,583963.1315768817
90697145.0,16,6.0,0.5968467038097697,WEST LAWN,349180.590824822,566092.7159497105
102680965.0,32,20.0,0.9949387435712321,LINCOLN PARK,358083.9988406271,582473.4114633697
102686388.0,18,8.0,0.7267153390322676,LINCOLN PARK,356808.37830383185,583241.4285850546
102686390.0,17,16.0,0.9788606091434833,LAKE VIEW,356754.856931374,584857.2716725803
102686391.0,19,10.0,0.9607441907275551,LAKE VIEW,356702.10651473654,586477.0793968206
102708200.0,22,12.0,0.9848119640066855,NEAR NORTH SIDE,357564.64583088324,581646.9224024309
102708209.0,9,6.0,0.911603397277082,LINCOLN PARK,355490.05113307736,583612.871367072
102708212.0,18,14.0,0.9308434441489901,LINCOLN PARK,354686.60148492386,584390.3932622507
102708213.0,33,28.0,0.9920359892322038,LINCOLN PARK,354340.01210277295,584788.3558733556
102713547.0,29,9.0,0.9885318581916216,NEAR NORTH SIDE,356857.52716032544,581627.3763535402
102713551.0,14,14.0,0.9331894415264143,NEAR NORTH SIDE,358108.7404392026,581664.5061807702
102713553.0,18,10.0,0.9783428735019862,NEAR NORTH SIDE,358466.60286902444,581674.0014125018
102713556.0,26,11.0,0.9929917360556315,NEAR NORTH SIDE,358771.5031899208,581683.9990788207
102723061.0,6,7.0,0.40230095385506137,NEAR NORTH SIDE,357405.5293010442,580837.4767150447
102723064.0,31,21.0,0.9954033613433851,NEAR NORTH SIDE,357769.047092256,580847.5370865053
102812058.0,32,20.0,0.9928403929978751,NORWOOD PARK,345192.35819544335,591951.9970789858
102825447.0,47,23.0,0.9961581864926146,ROGERS PARK,355741.72875673726,592120.6571204279
104504029.0,3,6.0,0.5630433251397886,FOREST GLEN,347051.80350421125,591893.7966047088
104509544.0,17,13.0,0.9826189400588774,NORTH PARK,350106.3510066813,591185.0053867757
104509549.0,28,16.0,0.9838761692624595,FOREST GLEN,348474.5110693641,591152.7773303539
104509909.0,28,14.0,0.9924989797280348,FOREST GLEN,347024.73867124924,591961.8622022875
105254026.0,20,10.0,0.9750762435128133,PORTAGE PARK,346904.0386809435,588678.8903314666
105254030.0,33,15.0,0.992223658716957,PORTAGE PARK,346928.97169843776,587868.6056369863
153023595.0,10,8.0,0.7315538201949949,LINCOLN SQUARE,353119.14417599933,589721.1389771235
157719704.0,46,23.0,0.9923252084924694,PORTAGE PARK,348633.5219308584,585475.8890823469
157719711.0,38,29.0,0.9930467999819673,PORTAGE PARK,348587.31425918685,587094.8952231416
157719735.0,5,9.0,0.41687636390157945,FOREST GLEN,348469.31978831714,591961.2098727309
157729865.0,21,8.0,0.9279915172034602,LINCOLN SQUARE,353422.8535697663,588610.9150136579
158730531.0,15,13.0,0.9768364063240822,LINCOLN SQUARE,353440.666569959,588007.3241103872
158733099.0,38,14.0,0.9945110021497973,ALBANY PARK,348514.219825524,589529.2511562202
158733110.0,26,21.0,0.9918132909498539,LINCOLN SQUARE,353389.950115991,589626.4999263397
158735319.0,12,12.0,0.9788836104069818,FOREST GLEN,350078.24355510017,591967.9857037225
158736266.0,45,12.0,0.990739098218426,IRVING PARK,350243.3823880191,586324.2836202721
158736274.0,35,11.0,0.9936129960635922,NORTH PARK,350150.57740648504,589561.4810686
250278793.0,6,7.0,0.3912496380938343,ROGERS PARK,354469.31806073996,594301.453670533
250278806.0,15,10.0,0.8543982986747404,ROGERS PARK,354902.575678692,592102.1501677727
250278809.0,12,8.0,0.8097921611101738,EDGEWATER,354953.2853207419,591293.173992775
250278855.0,13,9.0,0.9008460575905756,UPTOWN,355190.7990851796,588863.3501833817
250278896.0,17,7.0,0.8601267291497443,EDGEWATER,354958.2592343601,591172.0155529615
250278901.0,27,8.0,0.9891492317505682,EDGEWATER,355594.3963339606,590665.9346160144
250278912.0,76,44.0,0.99420477188637,EDGEWATER,356190.9022601712,590720.7504924302
250278915.0,24,6.0,0.8268548526643159,EDGEWATER,355761.00387823395,591514.1000320744
250278918.0,50,46.0,0.992468486365449,EDGEWATER,355786.6335574479,590707.6865305742
250278923.0,18,14.0,0.6660058459455771,UPTOWN,355827.74383107474,589287.413669971
250278937.0,15,8.0,0.9133883462185458,LINCOLN PARK,356352.7044632185,584843.7985159742
250278943.0,21,8.0,0.6796259768905096,LINCOLN PARK,355142.9369685549,584808.0885542418
250278971.0,15,9.0,0.9735957916074242,LAKE VIEW,357653.91034552315,585735.2964177663
250278972.0,58,29.0,0.9960008511051759,LAKE VIEW,357595.4024473523,585701.4544414713
250278976.0,36,14.0,0.9954069310428996,LAKE VIEW,357131.783998066,585671.8766425801
250278978.0,22,18.0,0.9918047170411642,LAKE VIEW,356726.71531377384,585661.7459035525
250278999.0,16,11.0,0.9099983092904008,LAKE VIEW,356502.49266328453,586472.1017279526
250279004.0,32,14.0,0.9907413782391111,LAKE VIEW,357201.9467169275,586627.8628300637
250755798.0,20,7.0,0.755116402207505,NEAR NORTH SIDE,358238.6908074363,581668.0119727411
250755822.0,12,6.0,0.7717988906679899,NEAR NORTH SIDE,358150.9356964283,580031.6882589197
250755823.0,22,16.0,0.9903596058402157,NEAR NORTH SIDE,358143.22783549153,580391.1917344875
250755829.0,38,22.0,0.9951694388998362,LINCOLN PARK,358082.8455884788,582666.5318184212
250755850.0,25,8.0,0.8352592385902674,LINCOLN PARK,358205.49477821146,582729.6706178013
250755865.0,64,35.0,0.9957072888060835,LINCOLN PARK,358185.53409864387,584122.0944446123
250755908.0,7,7.0,0.8379383899645652,LINCOLN PARK,357655.4068602681,583669.436186374
250755910.0,16,7.0,0.65589601449402,LINCOLN PARK,356794.5103261785,583645.2490070921
250756028.0,10,6.0,0.666076746586668,LOGAN SQUARE,355325.78601395304,583038.4372369915
250756058.0,37,17.0,0.9928009365972955,LINCOLN PARK,356433.4475929193,582424.2968244065
253960280.0,17,10.0,0.9701436898487809,DOUGLAS,359457.3866822399,574403.6303392075
253960324.0,10,6.0,0.6668611200653799,WASHINGTON PARK,359083.19140950544,569544.7219039118
253960331.0,20,6.0,0.9056491860290002,WASHINGTON PARK,359219.5049053823,569510.195289641
254241290.0,14,8.0,0.7042697427102418,DOUGLAS,358728.4513818678,572764.8795612492
254241293.0,14,6.0,0.7052920172059609,GRAND BOULEVARD,358792.35121621925,570347.7059746009
254241295.0,35,10.0,0.9776654938543061,WASHINGTON PARK,358815.7030158037,569497.9406020516
254241334.0,17,13.0,0.9217158141347083,GRAND BOULEVARD,358769.7148284532,571157.33575049
254241379.0,16,9.0,0.9855716307427967,ARMOUR SQUARE,358416.0203326592,574377.9882494711
254913359.0,23,10.0,0.9469965559581484,NEAR NORTH SIDE,358015.3065927336,580852.8496234079
256170556.0,68,40.0,0.9944306241473713,IRVING PARK,350219.74649801257,587131.937214883
256170566.0,48,22.0,0.9931453937856387,PORTAGE PARK,348611.7442891336,586284.6342861516
256170567.0,32,21.0,0.990968046902099,PORTAGE PARK,345333.3776231812,587017.9968864614
256170572.0,23,8.0,0.9875693673553365,PORTAGE PARK,346979.0049242199,586247.0074942621
256170580.0,37,12.0,0.9681100428483412,PORTAGE PARK,347007.4774310348,585436.1606457075
256170700.0,26,9.0,0.9497452068733833,ALBANY PARK,351818.8155842817,587981.523168802
256170703.0,34,27.0,0.9925544384700756,ALBANY PARK,350197.1971796554,587943.498284597
256170706.0,38,28.0,0.9931011074333634,PORTAGE PARK,348562.26714762225,587906.1970936187
256170708.0,22,12.0,0.961573386543899,PORTAGE PARK,347986.07806603645,587892.5179580005
256170709.0,13,10.0,0.9607050086475089,PORTAGE PARK,347745.61785173794,587887.1877740464
256170756.0,32,20.0,0.9930969736828342,FOREST GLEN,348541.4404002036,588717.8842981273
